EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,Attrition
101,32,Male,Married,Bachelor's,HR,HR Specialist,4200,6,10,3,No
102,45,Female,Single,Master's,Finance,Financial Analyst,5200,8,15,4,No
103,28,Male,Single,Bachelor's,R&D,Data Scientist,6500,3,6,2,Yes
104,29,Male,Married,Bachelor's,R&D,Research Scientist,3500,2,5,2,Yes
105,35,Female,Married,Bachelor's,R&D,Data Analyst,4400,5,12,3,No
106,22,Female,Single,Bachelor's,Sales,Sales Executive,3200,1,1,0,Yes
107,38,Male,Married,Bachelor's,R&D,Research Scientist,5000,10,10,7,No
108,40,Female,Single,Master's,HR,HR Manager,7500,15,20,10,No
109,31,Male,Married,Master's,Finance,Financial Analyst,5800,7,10,5,No
110,28,Female,Single,Bachelor's,Sales,Sales Representative,3200,2,5,2,Yes
111,45,Male,Married,Master's,R&D,Research Director,10000,20,30,15,No
112,26,Female,Single,Bachelor's,Sales,Sales Representative,3300,2,6,2,Yes
113,33,Male,Married,Bachelor's,R&D,Data Scientist,6800,8,12,3,No
114,29,Male,Single,Bachelor's,R&D,Research Scientist,4100,5,9,4,No
115,40,Female,Married,Master's,R&D,Data Scientist,7200,15,20,8,No
116,34,Female,Single,Bachelor's,Sales,Sales Executive,4800,9,15,7,No
117,27,Female,Single,Bachelor's,R&D,Data Analyst,4600,4,8,3,No
118,36,Female,Married,Bachelor's,Finance,Financial Analyst,5400,10,12,6,No
119,39,Female,Single,Bachelor's,R&D,Research Scientist,5900,15,22,7,No
120,31,Female,Single,Master's,HR,HR Specialist,4000,5,10,3,No
